ICAO,flight_count,Name
TCT,17,Transcontinental Sur
EGT,17,EGT Jet
SXJ,17,Shanxi Shenfei Jet
N43,17,
OEC,17,
T7L,17,
STL,17,Stapleford Flight Centre
PHG,17,Phoenix Aviation
DMP,17,
OKS,17,Slok Air International
DMX,17,
N31,16,
HRT,16,Chartright Air
DMC,16,Aerodinamica de Monterrey
DMI,16,Aeroservicios Dimamicos
PHJ,16,Corporate Jet
DNU,16,DAT
MFR,16,Midline Air Freight
TCV,16,Cabo Verde Airlines
HCX,16,Helsinki Citycopter
TCG,16,Thai Air Cargo
DHR,16,JettAircraft
UBD,16,UR Airlines
ARL,16,Airlec Air Espace
PHR,16,Pharaoh Airlines
HZS,16,Aviation Horizons
N34,16,
PCH,16,Pilatus Flugzeugwerke
N87,16,
DIV,16,
APX,15,Naljets Limited
MNE,15,Air Montenegro
N69,15,
LMJ,15,"Luxaviation E.A, S.A."
TCM,15,Teledyne Continental Motors
OYB,15,
PCT,15,Peace Air Togo
VM2,15,
T7O,15,
SXA,15,Southern Cross Aviation
N92,15,
OAW,15,Helvetic
FLC,15,"US Department of Transport, Federal Aviation Administration, Flight Inspection Services."
KPO,15,Fly Alliance
IAD,14,Air India Express
CPI,14,C.A.I. - Compagnia Aeronautica Italiana
DCL,14,Transportes Aereos Don Carlos
YUM,14,
CBM,14,DragonFly Executive Air Charter
GJE,14,Global Air Charters
PHE,14,Pawan Hans
DBD,14,Air Niagara
DFJ,14,
BYD,14,Beond
GVE,14,
FIA,14,FlyOne
OOC,14,
DHL,14,DHL Airways
CSS,14,SF Airlines
AJO,14,Av8jet Charter
N44,14,
AZG,14,Silk Way West Airlines
HL8,14,
N28,13,
CGI,13,Bristow Ireland Limited
DML,13,Getjet Airlines Latvia
GCB,13,Lignes Nationales Aeriennes - Linacongo
AIB,13,Airbus Industrie
HBT,13,Polizeihubschrauberstaffel Thüringen
HEZ,13,Arrow Aviation
DKU,13,
MBA,13,Avag Air
N89,13,
CEF,13,Czech Air Force
N96,13,
